model,experiment,remote_path,status,variants,archive_scope,notes
pi05,acp_resume,/raid0/fastwam/experiments/pi05_powersgd_plus_acp_resume_a800_100_1000_v2,completed,baseline|powersgd_plus|acp_powersgd_plus,metrics-config-status-logs,共同step100/1000链路
pi05,error_avg,/raid0/fastwam/experiments/pi05_powersgd_plus_error_avg_start300_a800_100_1000_v1,completed,powersgd_plus_error_avg_rank1_start300,metrics-config-status-logs,error averaging period 20
pi05,freeze_v_fair,/raid0/fastwam/experiments/pi05_powersgd_plus_freeze_v_fair_a800_100_1000_v2,completed,powersgd_plus_freeze_v_rank1_start300,metrics-config-status-logs,freeze_v start 301
pi05,freeze_v_500,/raid0/fastwam/experiments/pi05_powersgd_plus_freeze_v_a800_0_500_v2,completed,powersgd_plus_freeze_v,metrics-config-status-logs,早期500-step结果
pi05,powersgd_ablation,/raid0/fastwam/experiments/pi05_powersgd_plus_ablation_start300_a800_100_1000_v1,completed,exact_flush|lr_rank2|dynamic_period|standard_powersgd_plus,metrics-config-status-logs,四种PowerSGD+变体
pi05,accordion,/raid0/fastwam/experiments/pi05_accordion_start300_start400_a800_100_1000_v2,completed,accordion_start300|accordion_start400,metrics-config-status-logs,共同baseline与step300/400起点
pi05,precision_mechanisms,/raid0/fastwam/experiments/pi05_precision_mechanisms_start300_a800_100_1000_v1,completed,baseline|standard_powersgd_plus|oracle_error_budget|accordion,metrics-config-status-logs,精度机制对比
pi05,norm_oracle_rank1,/raid0/fastwam/experiments/pi05_norm_oracle_rank1_a800_100_1000_v2,completed,oracle_error_budget,metrics-config-status-logs,rank1/dense tensor选择
pi05,loss_threshold_v1,/raid0/fastwam/experiments/pi05_loss_threshold_restart_a800_0_1000_v1,failed,powersgd_plus_loss1pct,metrics-config-status-logs,step201代码/运行失败
pi05,loss_threshold_v2,/raid0/fastwam/experiments/pi05_loss_threshold_restart_a800_0_1000_v2,failed,powersgd_plus_loss1pct,metrics-config-status-logs,step202 CUDA OOM
pi05,loss_threshold_v3,/raid0/fastwam/experiments/pi05_loss_threshold_restart_a800_0_1000_v3,failed,powersgd_plus_loss1pct,metrics-config-status-logs,step203代码/运行失败
pi05,fixed_lr,/raid0/fastwam/experiments/pi05_fixed_lr_powersgd_a800_0_500_v1,completed,lr=2.4e-5|1.5e-5|1e-5,metrics-config-status-logs,固定学习率误差关系
pi05,lr_schedule,/raid0/fastwam/experiments/pi05_lr_schedule_powersgd_a800_0_1000_v1,completed,constant|linear|powersgd_plus_from200|from400|from600|from800,metrics-config-status-logs,学习率窗口
fastwam,low_lr_window,/raid0/fastwam/experiments/low_lr_window_powersgd_a800_1000_v5,completed,low_lr_30|40|50|60,metrics-config-status-logs,FastWAM已完成；Pi0.5已完成；Cosmos3 pending标记保留
cosmos3,low_lr_window,/raid0/fastwam/experiments/low_lr_window_powersgd_cosmos3_a800_1000_v1,completed,baseline|low_lr_30|40|50|60,metrics-config-status-logs,Cosmos3学习率窗口
pi05,ef21,/raid0/fastwam/experiments/pi05_ef21_powersgd_start300_a800_100_1000_v1,completed,ef21_powersgd_rank1_start300,metrics-config-status-logs,含OOM重试记录，最终attempt 3成功
pi05,safe_rank1_dense,/raid0/fastwam/experiments/pi05_safe_rank1_dense_actual_step300_a800_100_1000_v2,completed,baseline|layerwise_powersgd_e001_r50,metrics-config-status-logs,安全rank1/dense
fastwam,freeze_v_fair,/raid0/fastwam/experiments/fastwam_powersgd_plus_freeze_v_fair_a800_100_1000_v1,completed,dense|powersgd_plus_freeze_v_rank1_start300,metrics-config-status-logs,已完成；冻结v实际生效，step301-1000 MAPE=0.0485%
cosmos3,freeze_v_fair,/raid0/fastwam/experiments/cosmos3_powersgd_plus_freeze_v_fair_a800_100_1000_v1,failed_code,dense|powersgd_plus_freeze_v_rank1_start300,metrics-config-status-logs,Cosmos3 dense warmup失败：meta tensor直接.to(device)，需to_empty/显式物化后再验证；未计入有效对比
cosmos3,freeze_v_fair_v3,/raid0/fastwam/experiments/cosmos3_powersgd_plus_freeze_v_fair_a800_100_1000_v3,failed_code,dense|powersgd_plus_freeze_v_rank1_start300,metrics-config-status-logs,原始版本dense主段因恢复meta张量失败；修复后结果见v4
cosmos3,freeze_v_fair_v4,/raid0/fastwam/experiments/cosmos3_powersgd_plus_freeze_v_fair_a800_100_1000_v4,completed,dense|powersgd_plus_freeze_v_rank1_start300,metrics-config-status-logs,DDP前meta物化与pyav修复后四分支均完成step1000
cosmos3,powersgd_rank1_fair_v1,/raid0/fastwam/experiments/cosmos3_powersgd_plus_fair_a800_100_1000_v1,completed,dense|powersgd_plus_rank1_start300,metrics-config-status-logs,补跑完成；warmup与dense/纯PowerSGD+主段均成功step1000，rank1重启15次
fastwam,powersgd_rank1_fair_v1,/raid0/fastwam/experiments/fastwam_powersgd_plus_rank1_fair_a800_100_1000_v1,failed_interrupted,dense|powersgd_plus_rank1_start300,metrics-config-status-logs,warmup PowerSGD+被调度中断(SIGTERM)，原日志保留；重跑见v2
fastwam,powersgd_rank1_fair_v2,/raid0/fastwam/experiments/fastwam_powersgd_plus_rank1_fair_a800_100_1000_v2,completed,dense|powersgd_plus_rank1_start300,metrics-config-status-logs,在v1调度中断后新版本重跑，全部分支完成step1000
pi05,fp8_granularity,/raid0/fastwam/experiments/pi05_fp8_granularity_long_a800_v1,completed,dense|gradient_row|gradient_block_128,metrics-config-status-logs,gradient-only FP8参考实现；block首次OOM后仅调优allocator重试成功；461 tensors/144 buckets，覆盖99.975%梯度字节
